No,Merk,Model,CPU,GPU,RAM,Storage,Harga
64,ASUS,GAMING V16 V3607VJ,CORE I5 210H,RTX3050 6GB,8GB,512GB,Rp 16.399.000
65,ACER,ASPIRE LITE 14 AL14,RYZEN 3 5300,Integrated,8GB,512GB,Rp 7.649.000
66,LENOVO,THINKPAD E14 G7,ULTRA 7 258V,Integrated,32GB,1TB,Rp 28.999.000
67,LENOVO,YOGA SLIM 7 AURA EDITION 14,ULTRA 5 226V,Integrated,16GB,512GB,Rp 18.499.000
68,ACER,ASPIRE LITE 14 AL14,I3 1215,Integrated,8GB,256GB,Rp 6.999.000
69,ACER,NITRO LITE 16,I5 13420H,RTX4050 6GB,16GB,512GB,Rp 15.899.000
70,LENOVO,IDEAPAD SLIM 5 13,RYZEN 7 7735HS,Integrated,16GB,512GB,Rp 15.099.000
71,ACER,NITRO V 15,CORE 5 210H,RTX5050 8GB,16GB,512GB,Rp 17.299.000
72,AVITA,PURA A+,I5 1235,Integrated,8GB,512GB,Rp 6.299.000
73,AXIOO,HYPE-R 3,I3 1215,Integrated,12GB,256GB,Rp 7.449.000
74,APPLE,MACBOOK PRO 14 M5,M5 10C CPU,10C GPU,16GB,1TB,Rp 29.999.000
75,DELL,PRO 14 ESSENTIAL PV14255,RYZEN 5 220,Integrated,8GB,512GB,Rp 8.999.000
76,ASUS,VIVOBOOK 14 A1404VA,I3 1315,Integrated,8GB,256GB,Rp 8.199.000
77,ACER,NITRO LITE 16,CORE 7 240H,RTX3050 6GB,16GB,512GB,Rp 15.599.000
78,HP,14,RYZEN 7 7730,Integrated,16GB,512GB,Rp 12.199.000
79,ACER,NITRO V 16S,RYZEN 7 260,RTX5050 8GB,16GB,512GB,Rp 19.999.000
80,LENOVO,IDEAPAD SLIM 3 14,I3 1315,Integrated,8GB,512GB,Rp 8.449.000
81,APPLE,MACBOOK AIR 13 M2,M2 8C CPU,8C GPU,16GB,256GB,Rp 14.299.000
82,MSI,MODERN 14,I3 1315,Integrated,8GB,512GB,Rp 8.449.000
83,AVITA,PURA A+,RYZEN 5 5500,Integrated,8GB,512GB,Rp 5.699.000
84,ASUS,VIVOBOOK S14 OLED M3407HA,RYZEN 5 220,Integrated,16GB,1TB,Rp 15.839.000
85,ACER,ASPIRE LITE 14 AL14,I3 N355,Integrated,8GB,512GB,Rp 8.219.000
86,ASUS,EXPERTBOOK P5405CSA,ULTRA 7 258V,Integrated,32GB,1TB,Rp 19.600.000
87,ACER,ASPIRE VERO 16 AI AV16,ULTRA 5 225H,Integrated,16GB,1TB,Rp 13.999.000
88,LENOVO,LOQ 15,I5 13450HX,RTX3050 6GB,12GB,512GB,Rp 14.599.000
89,AXIOO,HYPE 5 AMD X5-2,RYZEN 5 7430,Integrated,8GB,256GB,Rp 6.999.000
90,ASUS,EXPERTBOOK BG1409CVA,I5 1334,Integrated,16GB,512GB,Rp 14.900.000
91,ASUS,VIVOBOOK GO 14 E1404FA,RYZEN 3 7320,Integrated,8GB,512GB,Rp 8.049.000
92,ASUS,EXPERTBOOK P1403CVA,CORE 5 210H,Integrated,16GB,512GB,Rp 11.800.000
93,ASUS,ZENBOOK A14 UX3407QA,SNAPDRAGON X X126100,Integrated,16GB,1TB,Rp 17.889.000
94,LENOVO,THINKPAD L13 G6,ULTRA 5 225U,Integrated,16GB,512GB,Rp 21.849.000
95,ASUS,VIVOBOOK 14 A1404VA,I3 1315,Integrated,8GB,256GB,Rp 8.199.000
96,ASUS,TUF F16 FX607VU,I7 13260H,RTX4050 6GB,16GB,512GB,Rp 18.599.000
97,ASUS,VIVOBOOK 14 A1404VAP,CORE I5 120U,Integrated,8GB,512GB,Rp 10.399.000
98,AXIOO,HYPE AI 5,ULTRA 5 125H,Integrated,8GB,256GB,Rp 9.949.000
99,AXIOO,PONGO 750,I7 13620H,RTX4050 6GB,16GB,512GB,Rp 16.249.000
100,INFINIX,INBOOK AIR PRO+ OLED,I5 1334,Integrated,16GB,512GB,Rp 11.499.000
